batterID,dateTime,gamePk,appearance,result
807713,2025-03-19T10:10:00Z,778564,2,Strikeout
669257,2025-03-19T10:10:00Z,778564,2,Double
571970,2025-03-19T10:10:00Z,778564,2,Pop Out
571771,2025-03-19T10:10:00Z,778564,2,Home Run
624424,2025-03-19T10:10:00Z,778564,2,Strikeout
500743,2025-03-19T10:10:00Z,778564,2,Strikeout
621020,2025-03-19T10:10:00Z,778564,2,Flyout
691718,2025-03-19T10:10:00Z,778564,2,Strikeout
608348,2025-03-19T10:10:00Z,778564,2,Walk
542932,2025-03-19T10:10:00Z,778564,2,Single
664023,2025-03-19T10:10:00Z,778564,3,Single
673548,2025-03-19T10:10:00Z,778564,3,Strikeout
681624,2025-03-19T10:10:00Z,778564,2,Strikeout
660271,2025-03-19T10:10:00Z,778564,3,Home Run
669242,2025-03-19T10:10:00Z,778564,3,Strikeout
606192,2025-03-19T10:10:00Z,778564,3,Flyout
663656,2025-03-19T10:10:00Z,778564,3,Flyout
683737,2025-03-19T10:10:00Z,778564,3,Strikeout
807713,2025-03-19T10:10:00Z,778564,3,Single
621020,2025-03-19T10:10:00Z,778564,3,Double
691718,2025-03-19T10:10:00Z,778564,3,Flyout
669257,2025-03-19T10:10:00Z,778564,3,Groundout
571970,2025-03-19T10:10:00Z,778564,3,Strikeout
571771,2025-03-19T10:10:00Z,778564,3,Pop Out
608348,2025-03-19T10:10:00Z,778564,3,Groundout
542932,2025-03-19T10:10:00Z,778564,3,Single
664023,2025-03-19T10:10:00Z,778564,4,Strikeout
673548,2025-03-19T10:10:00Z,778564,4,Forceout
624424,2025-03-19T10:10:00Z,778564,3,Walk
500743,2025-03-19T10:10:00Z,778564,3,Grounded Into DP
681624,2025-03-19T10:10:00Z,778564,3,Double
660271,2025-03-19T10:10:00Z,778564,4,Intent Walk
669242,2025-03-19T10:10:00Z,778564,4,Groundout
663656,2025-03-19T10:10:00Z,778564,4,Pop Out
683737,2025-03-19T10:10:00Z,778564,4,Strikeout
807713,2025-03-19T10:10:00Z,778564,4,Strikeout
606192,2025-03-19T10:10:00Z,778564,4,Groundout
669257,2025-03-19T10:10:00Z,778564,4,Walk
571970,2025-03-19T10:10:00Z,778564,4,Groundout
571771,2025-03-19T10:10:00Z,778564,4,Strikeout
621020,2025-03-19T10:10:00Z,778564,4,Strikeout
691718,2025-03-19T10:10:00Z,778564,4,Strikeout
608348,2025-03-19T10:10:00Z,778564,4,Single
542932,2025-03-19T10:10:00Z,778564,4,Pop Out
624424,2025-03-19T10:10:00Z,778564,4,Groundout
500743,2025-03-19T10:10:00Z,778564,4,Walk
681624,2025-03-19T10:10:00Z,778564,4,Walk
660271,2025-03-19T10:10:00Z,778564,5,Walk
669242,2025-03-19T10:10:00Z,778564,5,Grounded Into DP
664023,2025-03-19T10:10:00Z,778564,5,Pop Out
673548,2025-03-19T10:10:00Z,778564,5,Strikeout
663656,2025-03-19T10:10:00Z,778564,5,Double
457759,2025-03-19T10:10:00Z,778564,1,Walk
807713,2025-03-19T10:10:00Z,778564,5,Groundout
694192,2025-03-27T19:05:00Z,778557,1,Strikeout
592885,2025-03-27T19:05:00Z,778557,1,Groundout
661388,2025-03-27T19:05:00Z,778557,1,Pop Out
669224,2025-03-27T19:05:00Z,778557,1,Home Run
592450,2025-03-27T19:05:00Z,778557,1,Lineout
641355,2025-03-27T19:05:00Z,778557,1,Strikeout
502671,2025-03-27T19:05:00Z,778557,1,Groundout
656555,2025-03-27T19:05:00Z,778557,1,Pop Out
