batterID,timeDate,gamePk,appearance,result
660271,20250318_124835,778563,1,Groundout
669242,20250318_124835,778563,1,Pop Out
606192,20250318_124835,778563,1,Strikeout
664023,20250318_124835,778563,1,Walk
673548,20250318_124835,778563,1,Lineout
663656,20250318_124835,778563,1,Groundout
683737,20250318_124835,778563,1,Lineout
669257,20250318_124835,778563,1,Walk
571970,20250318_124835,778563,1,Walk
571771,20250318_124835,778563,1,Pop Out
624424,20250318_124835,778563,1,Pop Out
500743,20250318_124835,778563,1,Flyout
807713,20250318_124835,778563,1,Groundout
621020,20250318_124835,778563,1,Single
691718,20250318_124835,778563,1,Groundout
665804,20250318_124835,778563,1,Double
542932,20250318_124835,778563,1,Strikeout
681624,20250318_124835,778563,1,Strikeout
660271,20250318_124835,778563,2,Lineout
669242,20250318_124835,778563,2,Groundout
664023,20250318_124835,778563,2,Single
673548,20250318_124835,778563,2,Groundout
663656,20250318_124835,778563,2,Groundout
683737,20250318_124835,778563,2,Groundout
606192,20250318_124835,778563,2,Walk
669257,20250318_124835,778563,2,Pop Out
571970,20250318_124835,778563,2,Walk
571771,20250318_124835,778563,2,Flyout
624424,20250318_124835,778563,2,Flyout
807713,20250318_124835,778563,2,Strikeout
621020,20250318_124835,778563,2,Strikeout
691718,20250318_124835,778563,2,Groundout
500743,20250318_124835,778563,2,Strikeout
681624,20250318_124835,778563,2,Walk
660271,20250318_124835,778563,3,Single
669242,20250318_124835,778563,3,Single
606192,20250318_124835,778563,3,Forceout
669257,20250318_124835,778563,3,Single
571970,20250318_124835,778563,3,Strikeout
665804,20250318_124835,778563,2,Groundout
542932,20250318_124835,778563,2,Groundout
664023,20250318_124835,778563,3,Strikeout
571771,20250318_124835,778563,3,Strikeout
624424,20250318_124835,778563,3,Strikeout
500743,20250318_124835,778563,3,Single
681624,20250318_124835,778563,3,Walk
660271,20250318_124835,778563,4,Strikeout
673548,20250318_124835,778563,3,Strikeout
663656,20250318_124835,778563,3,Flyout
683737,20250318_124835,778563,3,Flyout
669242,20250318_124835,778563,4,Groundout
606192,20250318_124835,778563,4,Flyout
669257,20250318_124835,778563,4,Walk
571970,20250318_124835,778563,4,Groundout
807713,20250318_124835,778563,3,Pop Out
621020,20250318_124835,778563,3,Flyout
691718,20250318_124835,778563,3,Strikeout
571771,20250318_124835,778563,4,Groundout
624424,20250318_124835,778563,4,Double
500743,20250318_124835,778563,4,Groundout
681624,20250318_124835,778563,4,Strikeout
665804,20250318_124835,778563,3,Strikeout
542932,20250318_124835,778563,3,Hit By Pitch
664023,20250318_124835,778563,4,Strikeout
673548,20250318_124835,778563,4,Lineout
660271,20250318_124835,778563,5,Double
669242,20250318_124835,778563,5,Groundout
606192,20250318_124835,778563,5,Single
669257,20250318_124835,778563,5,Walk
571970,20250318_124835,778563,5,Strikeout
571771,20250318_124835,778563,5,Pop Out
663656,20250318_124835,778563,4,Lineout
457759,20250318_124835,778563,1,Flyout
807713,20250318_124835,778563,4,Strikeout
660271,20250319_125504,778564,1,Flyout
669242,20250319_125504,778564,1,Strikeout
606192,20250319_125504,778564,1,Groundout
664023,20250319_125504,778564,1,Flyout
673548,20250319_125504,778564,1,Strikeout
663656,20250319_125504,778564,1,Flyout
669257,20250319_125504,778564,1,Walk
571970,20250319_125504,778564,1,Double
571771,20250319_125504,778564,1,Sac Fly
624424,20250319_125504,778564,1,Single
500743,20250319_125504,778564,1,Grounded Into DP
683737,20250319_125504,778564,1,Walk
807713,20250319_125504,778564,1,Lineout
621020,20250319_125504,778564,1,Walk
691718,20250319_125504,778564,1,Double Play
681624,20250319_125504,778564,1,Strikeout
660271,20250319_125504,778564,2,Groundout
669242,20250319_125504,778564,2,Home Run
606192,20250319_125504,778564,2,Strikeout
608348,20250319_125504,778564,1,Groundout
542932,20250319_125504,778564,1,Single
664023,20250319_125504,778564,2,Walk
673548,20250319_125504,778564,2,Walk
663656,20250319_125504,778564,2,Walk
683737,20250319_125504,778564,2,Strikeout
807713,20250319_125504,778564,2,Strikeout
669257,20250319_125504,778564,2,Double
571970,20250319_125504,778564,2,Pop Out
571771,20250319_125504,778564,2,Home Run
624424,20250319_125504,778564,2,Strikeout
500743,20250319_125504,778564,2,Strikeout
621020,20250319_125504,778564,2,Flyout
691718,20250319_125504,778564,2,Strikeout
608348,20250319_125504,778564,2,Walk
542932,20250319_125504,778564,2,Single
664023,20250319_125504,778564,3,Single
673548,20250319_125504,778564,3,Strikeout
681624,20250319_125504,778564,2,Strikeout
660271,20250319_125504,778564,3,Home Run
669242,20250319_125504,778564,3,Strikeout
606192,20250319_125504,778564,3,Flyout
663656,20250319_125504,778564,3,Flyout
683737,20250319_125504,778564,3,Strikeout
807713,20250319_125504,778564,3,Single
621020,20250319_125504,778564,3,Double
691718,20250319_125504,778564,3,Flyout
669257,20250319_125504,778564,3,Groundout
571970,20250319_125504,778564,3,Strikeout
571771,20250319_125504,778564,3,Pop Out
608348,20250319_125504,778564,3,Groundout
542932,20250319_125504,778564,3,Single
664023,20250319_125504,778564,4,Strikeout
673548,20250319_125504,778564,4,Forceout
624424,20250319_125504,778564,3,Walk
500743,20250319_125504,778564,3,Grounded Into DP
681624,20250319_125504,778564,3,Double
660271,20250319_125504,778564,4,Intent Walk
669242,20250319_125504,778564,4,Groundout
663656,20250319_125504,778564,4,Pop Out
683737,20250319_125504,778564,4,Strikeout
807713,20250319_125504,778564,4,Strikeout
606192,20250319_125504,778564,4,Groundout
669257,20250319_125504,778564,4,Walk
